SalePrice,Order,Bsmt Qual,Exter Qual,Fireplace Qu,Functional,Garage Area,Garage Qual,Gr Liv Area,HouseAge,TotalPorchSF,Kitchen Qual,Land Contour,Lot Area,Lot Frontage,Lot Shape,Mas Vnr Area,Misc Val,NeighborhoodClass,Overall Cond,Pool QC,PosFeature_Adjacent,PosFeature_Near,Railroad_Adjacent,Railroad_Near,RemodelAge,Total Bsmt SF,TotalBathrooms
215000,1,2.5,0,3.0,7,528,3.0,1656,50,272,0,3,31770,141.0,2,112.0,0,1,5,0,0.0,0.0,0.0,0.0,50,639.0,2.0
105000,2,2.5,0,0.0,7,730,3.0,896,49,260,0,3,11622,80.0,3,0.0,0,1,6,0,0.0,0.0,0.0,0.0,49,612.0,1.0
172000,3,2.5,0,0.0,7,312,3.0,1329,52,429,1,3,14267,81.0,2,108.0,12500,1,6,0,0.0,0.0,0.0,0.0,52,923.0,1.5
244000,4,2.5,1,2.5,7,522,3.0,2110,42,0,4,3,11160,93.0,3,0.0,0,1,5,0,0.0,0.0,0.0,0.0,42,1065.0,3.5
189900,5,3.0,0,2.5,7,482,3.0,1629,13,246,0,3,13830,74.0,2,0.0,0,2,5,0,0.0,0.0,0.0,0.0,12,791.0,2.5
195500,6,2.5,0,3.0,7,470,3.0,1604,12,396,1,3,9978,78.0,2,20.0,0,2,6,0,0.0,0.0,0.0,0.0,12,602.0,2.5
213500,7,3.0,1,0.0,7,582,3.0,1338,9,170,1,3,4920,41.0,3,0.0,0,3,5,0,0.0,0.0,0.0,0.0,9,616.0,3.0
191500,8,3.0,1,0.0,7,506,3.0,1280,18,226,1,1,5005,43.0,2,0.0,0,3,5,0,0.0,0.0,0.0,0.0,18,263.0,2.0
236500,9,3.0,1,2.5,7,608,3.0,1616,15,389,1,3,5389,39.0,2,0.0,0,3,5,0,0.0,0.0,0.0,0.0,14,1180.0,3.0
189000,10,2.5,0,2.5,7,442,3.0,1804,11,200,1,3,7500,60.0,3,0.0,0,2,5,0,0.0,0.0,0.0,0.0,11,0.0,2.5
175900,11,3.0,0,2.5,7,440,3.0,1655,17,241,0,3,10000,75.0,2,0.0,0,2,5,0,0.0,0.0,0.0,0.0,16,0.0,2.5
185000,12,3.0,0,0.0,7,420,3.0,1187,18,504,0,3,7980,74.20720672607422,2,0.0,500,2,7,0,0.0,0.0,0.0,0.0,3,935.0,3.0
180400,13,3.0,0,3.0,7,393,3.0,1465,12,75,0,3,8402,63.0,2,0.0,0,2,5,0,0.0,0.0,0.0,0.0,12,0.0,2.5
171500,14,3.0,0,1.5,7,506,3.0,1341,20,192,1,3,10176,85.0,3,0.0,0,2,5,0,0.0,0.0,0.0,0.0,20,637.0,2.5
212000,15,3.0,1,0.0,7,528,3.0,1502,25,194,1,3,6820,62.173912048339844,2,0.0,0,3,5,0,0.0,0.0,0.0,0.0,25,1488.0,2.5
538000,16,3.0,4,3.0,4,841,3.0,3279,7,749,4,1,53504,47.0,1,603.0,0,3,5,0,0.0,0.0,0.0,0.0,7,1416.0,4.5
164000,17,3.0,1,0.0,7,492,3.0,1752,22,337,0,2,12134,152.0,2,0.0,0,2,7,0,0.0,0.0,0.0,0.0,5,427.0,2.0
394432,18,4.0,1,4.0,7,834,3.0,1856,0,113,4,3,11394,88.0,3,350.0,0,3,2,0,0.0,0.0,0.0,0.0,0,1445.0,2.5
141000,19,2.5,0,0.0,7,400,3.0,864,59,0,0,3,19138,140.0,3,0.0,0,2,5,0,0.0,0.0,0.0,0.0,59,120.0,1.0
210000,20,3.0,0,2.5,6,500,3.0,2073,32,349,0,3,13175,85.0,3,119.0,0,2,6,0,0.0,0.0,0.0,0.0,22,953.0,3.0
190000,21,3.0,0,2.5,7,546,3.0,1844,33,122,0,3,11751,105.0,2,480.0,0,2,6,0,0.0,0.0,0.0,0.0,33,705.0,2.0
216000,23,3.0,1,0.0,7,663,3.0,1674,10,96,1,3,7500,64.54938507080078,3,0.0,0,2,5,0,0.0,0.0,0.0,0.0,10,533.0,3.5
149000,24,2.5,0,2.5,7,480,3.0,1004,40,0,0,3,11241,75.2106704711914,2,180.0,700,1,7,0,0.0,0.0,0.0,0.0,40,578.0,2.0
